ds,y,yhat,yhat_lower,yhat_upper,residual,resid_z,anomaly_breach,anomaly_z3,anomaly_any,severity
2019-07-13 00:00:00,1858728,1601508.0530384888,1403958.7741235704,1802745.4450846757,257219.94696151116,0.13647514629608926,1,0,1,1.013647514629609
2019-07-13 00:05:00,2263185,1600864.3971928642,1403329.8887354254,1793643.9593389744,662320.6028071358,2.924612125654954,1,0,1,1.2924612125654955
2019-07-13 00:10:00,1783487,1600269.1076892163,1398270.29966642,1779256.3771661613,183217.89231078373,-0.37284978848963973,1,0,1,1.037284978848964
2019-07-13 00:15:00,1760627,1599723.0964058142,1397191.2690996209,1792275.2250417117,160903.90359418583,-0.5264275628032209,0,0,0,0.05264275628032209
2019-07-13 00:20:00,1766125,1599227.3452486706,1431814.1991261602,1792262.0251566968,166897.65475132945,-0.4851751012108717,0,0,0,0.048517510121087175
2019-07-13 00:25:00,1715607,1598782.909462469,1417494.467156006,1795726.9518057434,116824.09053753107,-0.8298103271928191,0,0,0,0.08298103271928192
2019-07-13 00:30:00,1758542,1598390.9193380221,1407288.264930058,1780648.0830888906,160151.08066197787,-0.5316089255729674,0,0,0,0.05316089255729674
2019-07-13 00:35:00,1720133,1598052.5802772178,1402657.3459772929,1778676.4356721474,122080.41972278222,-0.7936332300550973,0,0,0,0.07936332300550974
2019-07-13 00:40:00,1668827,1597769.1711526443,1397888.3006148231,1778675.187865969,71057.82884735567,-1.1448002063353986,0,0,0,0.11448002063353986
2019-07-13 00:45:00,1709215,1597542.040942106,1415919.3573071146,1792955.729877379,111672.95905789407,-0.8652633928856788,0,0,0,0.08652633928856789
2019-07-13 00:50:00,1682624,1597372.603627777,1384229.5911760288,1784710.1959613313,85251.39637222304,-1.0471118666251058,0,0,0,0.10471118666251059
2019-07-13 00:55:00,1674106,1597262.3313607466,1410779.6551729434,1783224.855357235,76843.66863925336,-1.104978710991823,0,0,0,0.1104978710991823
2019-07-13 01:00:00,1693220,1597212.745928706,1417908.6612010207,1784073.2030024538,96007.2540712941,-0.9730838339306096,0,0,0,0.09730838339306097
2019-07-13 01:05:00,1776965,1597225.4085542825,1401331.5219460996,1781041.3521986261,179739.5914457175,-0.39678946651110114,0,0,0,0.03967894665111012
2019-07-13 01:10:00,1861414,1597301.9080955079,1406679.9392613166,1787691.703966437,264112.0919044921,0.18391087345509272,1,0,1,1.0183910873455093
2019-07-13 01:15:00,1881544,1597443.8477258363,1405895.538362334,1791783.076638303,284100.1522741637,0.3214802638230412,1,0,1,1.0321480263823042
2019-07-13 01:20:00,1831635,1597652.830183096,1403033.1222861246,1791550.1413205091,233982.169816904,-0.02346067419705163,1,0,1,1.0023460674197051
2019-07-13 01:25:00,1693962,1597930.4417045002,1406723.5573367206,1798330.7808513842,96031.55829549977,-0.9729165582047261,0,0,0,0.09729165582047261
2019-07-13 01:30:00,1697680,1598278.234771669,1407952.3094801512,1801088.7207429218,99401.76522833109,-0.9497208451345911,0,0,0,0.09497208451345912
2019-07-13 01:35:00,1718839,1598697.709805298,1404431.4312694804,1786079.6167755886,120141.2901947021,-0.806979440847378,0,0,0,0.08069794408473781
2019-07-13 01:40:00,1652241,1599190.2959699768,1403223.8054991933,1782876.5102032623,53050.70403002319,-1.268735652676093,0,0,0,0.1268735652676093
2019-07-13 01:45:00,1671782,1599757.3312475625,1404396.8451264221,1785732.6905598675,72024.66875243746,-1.1381458549943688,0,0,0,0.11381458549943689
2019-07-13 01:50:00,1659314,1600400.0419665964,1411209.8064585743,1786469.2347412775,58913.958033403615,-1.228381347961196,0,0,0,0.1228381347961196
2019-07-13 01:55:00,1686522,1601119.521956753,1409098.1366304215,1805304.9936591084,85402.47804324701,-1.0460720351960355,0,0,0,0.10460720351960356
2019-07-13 02:00:00,1709997,1601916.7115578093,1400362.660976839,1786153.8897011774,108080.28844219074,-0.8899902296699561,0,0,0,0.08899902296699562
2019-07-13 02:05:00,1990575,1602792.3766368108,1402933.6121917625,1804044.3828293923,387782.62336318917,1.0350829884376886,1,0,1,1.1035082988437688
2019-07-13 02:10:00,1888837,1603747.0878629514,1407788.9364762579,1790755.734075063,285089.91213704855,0.32829236356806385,1,0,1,1.0328292363568063
2019-07-13 02:15:00,1690011,1604781.2004228125,1404168.8022965316,1797330.1533756778,85229.79957718751,-1.04726050825776,0,0,0,0.104726050825776
2019-07-13 02:20:00,1676472,1605894.8343960121,1431657.7266488895,1796618.2167744702,70577.16560398787,-1.1481084087392057,0,0,0,0.11481084087392057
2019-07-13 02:25:00,1693190,1607087.8560012854,1421209.7716857777,1803743.9693391903,86102.14399871463,-1.0412565294803866,0,0,0,0.10412565294803866
2019-07-13 02:30:00,1700697,1608359.8599095745,1423499.7352212858,1811865.8153686803,92337.1400904255,-0.9983436807387105,0,0,0,0.09983436807387105
2019-07-13 02:35:00,1679923,1609710.152840424,1421297.734797664,1787116.9140682614,70212.8471595759,-1.150615858955516,0,0,0,0.1150615858955516
2019-07-13 02:40:00,1659035,1611137.738630322,1422815.5172429704,1815422.619751801,47897.26136967796,-1.3042046252511201,0,0,0,0.13042046252511202
2019-07-13 02:45:00,1684004,1612641.3049663818,1414943.4679196042,1812786.362971719,71362.69503361825,-1.142701940940344,0,0,0,0.11427019409403441
2019-07-13 02:50:00,1707164,1614219.2119511317,1412640.7095348884,1805553.7517686575,92944.7880488683,-0.9941614960917128,0,0,0,0.09941614960917128
2019-07-13 02:55:00,1669589,1615869.482684443,1425727.8871661439,1810811.0353734954,53719.517315556994,-1.264132492876732,0,0,0,0.1264132492876732
